FID_data,__1,PURCHASE,FLOORSZ,TYPEDETCH,TPSEMIDTCH,TYPETRRD,TYPEBNGLW,TYPEFLAT,BLDPWW1,BLDPOSTW,BLD60S,BLD70S,BLD80S,BLD90S,BATH2,BEDS2,GARAGE1,CENTHEAT,UNEMPLOY,PROF,BLDINTW,X,Y,coords.x1,coords.x2,optional,FID_London,NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER,LON,LAT
563,563,41000,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8.761930011,34.15409055,0,536300,171700,536300,171700,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,-0.039223781,51.42740114
787,787,43000,48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.881956823,27.30724299,0,551700,174500,551700,174500,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.183352422,51.44864868
1278,1278,43000,52,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.311087191,20.58339214,0,546500,182900,546500,182900,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.112052797,51.52550399
1016,1016,44500,44,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.943005181,21.93677777,0,551900,177500,551900,177500,TRUE,14,Bexley,E09000004,6428.649,370.619,F,0.18751775,51.47555308
154,154,45000,53,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,4.860874503,39.7921161,0,533300,165800,533300,165800,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.084571824,51.3750879
533,533,45000,81,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,7.758478081,21.27421498,0,538700,171400,538700,171400,TRUE,12,Lewisham,E09000023,3531.706,16.795,T,-0.004837773,51.42412259
1453,1453,45000,62,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.947637292,17.6730169,1,546700,185200,546700,185200,TRUE,31,Barking and Dagenham,E09000002,3779.934,169.15,F,0.115892561,51.5461206
160,160,50000,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.116699132,52.4138632,1,518600,165900,518600,165900,TRUE,0,Kingston upon Thames,E09000021,3726.117,0,F,-0.295660596,51.37924859
255,255,50000,43,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8.018867925,28.23650739,0,533100,167600,533100,167600,TRUE,1,Croydon,E09000008,8649.441,0,F,-0.086769289,51.39131264
743,743,50000,44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9.300042082,39.72580382,0,530400,174000,530400,174000,TRUE,10,Lambeth,E09000022,2724.94,43.927,T,-0.123202318,51.44946162
